domain,creation_date,expiration_date,lifespan,creation_year,registrar,nameserver1,nameserver2,nameserver3
dekhodramatv.live,18-11-2023,18-11-2025,2.0,2023.0,,,,
delawareonline.com,15-05-1997,16-05-2026,29.0,1997.0,,,,
delcotimes.com,12-03-1996,13-03-2026,30.0,1996.0,,,,
delhitaxi.com,19-04-2006,19-04-2026,20.0,2006.0,,,,
deliasrestaurant.com,21-06-2006,21-06-2027,21.0,2006.0,,,,
deliceflash.com,27-11-2024,27-11-2025,1.0,2024.0,,,,
delicioso.saudaveisreceitas.com.br,04-11-2022,04-11-2027,5.0,2022.0,,,,
delicious---recipes.ouskino.com,05-11-2024,05-11-2025,1.0,2024.0,"NameCheap, Inc.",NS1.OUSKINO.COM,NS2.OUSKINO.COM,
delicious-recipes.ouskino.com,05-11-2024,05-11-2025,1.0,2024.0,,,,
delicious.gamiblo.com,13-05-2022,13-05-2026,4.0,2022.0,NAMECHEAP INC,CLEO.NS.CLOUDFLARE.COM,RAPHAELA.NS.CLOUDFLARE.COM,
delicious.recipes.edrrak.com,21-11-2021,21-11-2026,5.0,2021.0,"NameCheap, Inc.",UK1.OUADIEDNS.COM,UK2.OUADIEDNS.COM,
deliciousden.com,03-05-2024,03-05-2027,3.0,2024.0,"GoDaddy.com, LLC",BUFFALO.EZOICNS.COM,CARACAL.EZOICNS.COM,
deliciousdinner.com,19-04-2020,19-04-2026,6.0,2020.0,,,,
deliciouseasyrecipes.servi.tn,,,,,ZENHOSTING,finley.ns.cloudflare.com.,leanna.ns.cloudflare.com.,
deliciousfoodhomemade.com,23-02-2017,23-02-2026,9.0,2017.0,,,,
delicioussidedishes.com,05-02-2023,05-02-2026,3.0,2023.0,,,,
delikatessen-drehbuch.com,01-06-2024,01-06-2026,2.0,2024.0,,,,
delish.bbuding.com,18-11-2023,18-11-2025,2.0,2023.0,,,,
delish.com,08-09-1999,23-12-2025,26.0,1999.0,,,,
delish.foodiestaster.com,12-08-2023,12-08-2025,2.0,2023.0,,,,
delishtasty.com,22-05-2020,22-05-2026,6.0,2020.0,,,,
delmarvanow.com,03-12-2001,03-12-2025,24.0,2001.0,,,,
delta-executor.com,08-04-2023,08-04-2026,3.0,2023.0,,,,
delta-exploits.com,06-01-2025,06-01-2026,1.0,2025.0,,,,
deltaexecuter.com,28-03-2024,28-03-2026,2.0,2024.0,NAMECHEAP INC,ARYA.NS.CLOUDFLARE.COM,COEN.NS.CLOUDFLARE.COM,
deltaexexcutor.com,12-05-2025,12-05-2026,1.0,2025.0,,,,
deltaios-executor.com,25-12-2024,25-12-2025,1.0,2024.0,,,,
deluxcards.com,11-07-2019,11-07-2025,6.0,2019.0,,,,
deluxe-green-bo.com,22-06-2018,22-06-2025,7.0,2018.0,,,,
dematology.com,06-07-2010,06-07-2025,15.0,2010.0,,,,
demo.asotinmovingcompany.com,21-10-2013,21-10-2025,12.0,2013.0,,,,
demo.citizensoneworld.com,22-09-2021,22-09-2025,4.0,2021.0,,,,
demo.vlexmenu.com,19-06-2011,19-06-2026,15.0,2011.0,,,,
democratandchronicle.com,06-08-1997,05-08-2026,29.0,1997.0,,,,
demores-offshore-bar-grill.menu-world.com,24-12-2023,24-12-2025,2.0,2023.0,,,,
denimflowerbrand.com,17-05-2024,17-05-2026,2.0,2024.0,,,,
dennys-place.edan.io,11-09-2020,11-09-2028,8.0,2020.0,,,,
dental.clinic,21-09-2023,21-09-2025,2.0,2023.0,,,,
dentalssupply.com,26-03-2024,26-03-2026,2.0,2024.0,,,,
dentamax.com,21-03-2002,21-03-2027,25.0,2002.0,,,,
dentistsok.com,12-07-2018,12-07-2026,8.0,2018.0,,,,
dentonrc.com,08-07-1997,07-07-2026,29.0,1997.0,,,,
denvergazette.com,11-03-2005,10-03-2026,21.0,2005.0,,,,
denverpost.com,10-03-1995,11-03-2026,31.0,1995.0,,,,
deplorabledaily.com,17-09-2021,17-09-2027,6.0,2021.0,,,,
depositsaccounts.com,01-01-2009,01-01-2026,17.0,2009.0,,,,
depotexcel.com,13-04-2023,13-04-2026,3.0,2023.0,,,,
derbyshiretimes.co.uk,07-01-1997,07-01-2026,29.0,1997.0,Team Blue Internet Services UK Limited [Tag = NAMESCO],ns-cloud-e1.googledomains.com,ns-cloud-e2.googledomains.com,ns-cloud-e3.googledomains.com
dereklow.co,03-09-2010,02-09-2025,15.0,2010.0,,,,
dermatologistnearme.com,20-02-2016,20-02-2032,16.0,2016.0,,,,
dermatonet.com,14-04-2000,14-04-2029,29.0,2000.0,,,,
dermnetnz.org,01-11-2000,01-11-2025,25.0,2000.0,Instra Corporation Pty Ltd.,jim.ns.cloudflare.com,lady.ns.cloudflare.com,
desantisdaily.com,11-08-2021,11-08-2027,6.0,2021.0,,,,
descarga.zeicor.com,04-02-2023,04-02-2026,3.0,2023.0,,,,
descargar.online,19-01-2019,19-01-2026,7.0,2019.0,,,,
descargarmusica.me,10-09-2015,10-09-2025,10.0,2015.0,,,,
descargasinfinitas.net,20-05-2024,20-05-2026,2.0,2024.0,,,,
deseret.com,16-09-1993,15-09-2026,33.0,1993.0,,,,
desertsun.com,14-03-2001,14-03-2026,25.0,2001.0,,,,
desi.mobi,02-01-2024,02-01-2026,2.0,2024.0,,,,
desicomments.com,03-02-2008,03-02-2028,20.0,2008.0,,,,
design.hudistore.com,07-05-2021,07-05-2026,5.0,2021.0,P.A. Viet Nam Company Limited,KIPP.NS.CLOUDFLARE.COM,LILITH.NS.CLOUDFLARE.COM,
designerhutbyraheel.com,30-09-2020,30-09-2025,5.0,2020.0,,,,
designhunter.co.uk,09-10-2011,09-10-2025,14.0,2011.0,,,,
designingdreamscapes.com,08-08-2023,08-08-2025,2.0,2023.0,,,,
designingidea.com,21-04-2015,21-04-2026,11.0,2015.0,,,,
designyourtrends.com,27-04-2025,27-04-2026,1.0,2025.0,,,,
desimza.com,15-09-2019,15-09-2025,6.0,2019.0,,,,
desingsaimari.com,06-05-2021,06-05-2026,5.0,2021.0,,,,
desitv.co.in,13-07-2013,13-07-2025,12.0,2013.0,,,,
desivdo.net,10-05-2022,10-05-2026,4.0,2022.0,,,,
desk.ngnxry.com,06-07-2024,06-07-2026,2.0,2024.0,"NameSilo, LLC",JO.NS.CLOUDFLARE.COM,TONY.NS.CLOUDFLARE.COM,
desktop.eggcitementbistro.com,09-06-2020,09-06-2026,6.0,2020.0,,,,
desktop.kenscustomantennas.com,27-03-2023,27-03-2026,3.0,2023.0,,,,
desmoinesregister.com,21-07-1998,20-07-2026,28.0,1998.0,,,,
despedidasmandanga.com,22-01-2018,22-01-2026,8.0,2018.0,,,,
desportoreimoz.com,08-01-2020,08-01-2026,6.0,2020.0,Internet Domain Service BS Corp.,NS3.MOZDOMAINS.COM,NS4.MOZDOMAINS.COM,
dessarts.com,18-07-2006,18-07-2026,20.0,2006.0,,,,
dessertnowdinnerlater.com,20-06-2013,20-06-2026,13.0,2013.0,,,,
destaquevagasmais.com.br,24-12-2020,24-12-2026,6.0,2020.0,,,,
destinationlesstravel.com,04-10-2016,04-10-2026,10.0,2016.0,,,,
destinoseviajes.com,06-10-2021,06-10-2026,5.0,2021.0,,,,
destinyusa.com,30-05-1995,29-05-2029,34.0,1995.0,,,,
detoxbloom.com,06-02-2025,06-02-2026,1.0,2025.0,,,,
detoxicrecenze.com,12-05-2018,12-05-2026,8.0,2018.0,,,,
detroitnews.com,17-10-1997,16-10-2030,33.0,1997.0,,,,
dev-api.monacosuitesboracay.com,16-06-2009,16-06-2026,17.0,2009.0,,,,
dev-dreams.com,19-07-2024,19-07-2025,1.0,2024.0,,,,
dev.boxingpackology.com,30-05-2023,30-05-2026,3.0,2023.0,,,,
dev.kidsgamesgalaxy.com,16-07-2013,16-07-2026,13.0,2013.0,,,,
dev.mytacomacard.com,31-03-2023,31-03-2026,3.0,2023.0,,,,
dev.snydersuppyllc.com,30-05-2018,30-05-2026,8.0,2018.0,,,,
dev.vlexmenu.com,19-06-2011,19-06-2026,15.0,2011.0,,,,
dev.workswearsafety.com,06-01-2023,06-01-2026,3.0,2023.0,,,,
dev01.realmhappy.com,11-11-2024,11-11-2025,1.0,2024.0,,,,
devdrive.cfd,29-12-2023,29-12-2025,2.0,2023.0,,,,
developer.foxlivetvs.com,30-10-2018,30-10-2025,7.0,2018.0,,,,
developers.argjendaridonaldo.com,02-05-2020,02-05-2026,6.0,2020.0,,,,
device.report,14-08-2018,14-08-2025,7.0,2018.0,,,,
devoir-de-philosophie.com,21-11-2003,21-11-2026,23.0,2003.0,,,,
devonlive.com,30-08-2015,30-08-2025,10.0,2015.0,,,,
devotudoaocinema.com.br,11-08-2013,11-08-2025,12.0,2013.0,,,,
devriesphoto.com,08-03-1997,09-03-2026,29.0,1997.0,,,,
dew.runshufeiye.com,28-03-2025,28-03-2026,1.0,2025.0,,,,
dexexchanger.com,26-01-2023,26-01-2027,4.0,2023.0,NAMECHEAP INC,RACHEL.NS.CLOUDFLARE.COM,TOBY.NS.CLOUDFLARE.COM,
dexobux.setise.com,03-08-2023,03-08-2026,3.0,2023.0,IONOS SE,NS7102.BANAHOSTING.COM,NS7103.BANAHOSTING.COM,
dexter-russell.com,17-10-1997,16-10-2025,28.0,1997.0,,,,
dfwfly.com,15-04-2022,15-04-2026,4.0,2022.0,,,,
dgme.me,08-04-2023,08-04-2026,3.0,2023.0,"GoDaddy.com, LLC",,,
dhcones.com,29-01-2025,29-01-2026,1.0,2025.0,,,,
dheerani.com,21-10-2024,21-10-2025,1.0,2024.0,NAMECHEAP INC,ARTEMIS.DNS-PARKING.COM,HERMES.DNS-PARKING.COM,
dhgate-dhlinktr.track718.com,13-02-2020,13-02-2026,6.0,2020.0,"Alibaba Cloud Computing (Beijing) Co., Ltd.",NS-1514.AWSDNS-61.ORG,NS-1856.AWSDNS-40.CO.UK,NS-430.AWSDNS-53.COM
dhijangakosova.com,27-03-2025,27-03-2026,1.0,2025.0,PDR Ltd. d/b/a PublicDomainRegistry.com,NS1.DNS-PARKING.COM,NS2.DNS-PARKING.COM,
diabetes.co.uk,20-09-1996,20-09-2025,29.0,1996.0,,,,
diabetesdaily.com,15-06-2005,15-06-2026,21.0,2005.0,,,,
diabetesstrong.com,06-07-2017,06-07-2027,10.0,2017.0,,,,
diabeticlens.com,14-03-2024,14-03-2026,2.0,2024.0,,,,
diamantes.miadonay.com,21-05-2021,21-05-2026,5.0,2021.0,,,,
diamondbazaargold.com,01-09-2021,01-09-2025,4.0,2021.0,,,,
dianbaodaohang.com,06-04-2025,06-04-2035,10.0,2025.0,,,,
dianbara.com,18-12-2021,18-12-2025,4.0,2021.0,,,,
diaonia.com,22-04-2023,22-04-2026,3.0,2023.0,,,,
diaridetarragona.com,29-05-1998,28-05-2026,28.0,1998.0,"Arsys Internet, S.L. dba NICLINE.COM",DNS1.DIARIDETARRAGONA.COM,DNS2.DIARIDETARRAGONA.COM,
diario.mx,01-05-2009,30-04-2027,18.0,2009.0,,,,
diarioaldia.com,05-01-2021,05-01-2027,6.0,2021.0,,,,
diariodecuyo.com.ar,09-09-2013,21-02-2026,12.0,2013.0,nicar,gordon.ns.cloudflare.com,lina.ns.cloudflare.com,
diariodelistmo.com,03-04-2000,03-04-2027,27.0,2000.0,,,,
diariodolinux.com,29-03-2024,29-03-2026,2.0,2024.0,,,,
diariogol.com,23-09-2011,23-09-2026,15.0,2011.0,"10DENCEHISPAHARD, S.L",NS1.CDMON.NET,NS2.CDMON.NET,NS3.CDMON.NET
diariohuarpe.com,04-06-2007,04-06-2027,20.0,2007.0,,,,
diarioinforme.com,14-04-2020,14-04-2026,6.0,2020.0,,,,
diariomotor.com,16-03-2005,16-03-2028,23.0,2005.0,Dinahosting s.l.,NS10.DNSMADEEASY.COM,NS11.DNSMADEEASY.COM,NS12.DNSMADEEASY.COM
diariouno.com.ar,18-01-2019,07-02-2026,,,nicar,ns-387.awsdns-48.com,ns-779.awsdns-33.net,ns-1188.awsdns-20.org
dicasbarcelona.com.br,07-03-2015,07-03-2030,15.0,2015.0,,,,
dicasdaandy.com,16-03-2020,16-03-2026,6.0,2020.0,,,,
dicasgratis.com.br,20-04-2022,20-04-2026,4.0,2022.0,,,,
dicaslegais.com,11-10-2024,11-10-2025,1.0,2024.0,,,,
dicasparanossacasa.com,08-08-2022,08-08-2026,4.0,2022.0,"GoDaddy.com, LLC",ANT.EZOICNS.COM,COW.EZOICNS.COM,
dickson-county.edan.io,11-09-2020,11-09-2028,8.0,2020.0,NAMECHEAP INC,zara.ns.cloudflare.com,odin.ns.cloudflare.com,
dictation.io,15-01-2014,15-01-2026,12.0,2014.0,"TUCOWS, INC.",ns-cloud-e1.googledomains.com,ns-cloud-e2.googledomains.com,ns-cloud-e3.googledomains.com
dictationsonline.com,10-03-2006,10-03-2026,20.0,2006.0,,,,
dictionary.cambridge.org,18-04-1998,30-12-2025,27.0,1998.0,,,,
dictionaryscoop.com,19-07-2021,19-07-2026,5.0,2021.0,,,,
diepresse.com,29-12-1998,29-12-2025,27.0,1998.0,,,,
dietcrafts.com,26-12-2023,26-12-2025,2.0,2023.0,,,,
dieter24.com,04-06-2021,04-06-2026,5.0,2021.0,,,,
diethood.com,27-10-2010,27-10-2026,16.0,2010.0,,,,
dietingwell.com,13-02-2015,13-02-2026,11.0,2015.0,,,,
dietketo.website,13-02-2019,13-02-2026,7.0,2019.0,"Go Daddy, LLC",DNS1.NAMECHEAPHOSTING.COM,DNS2.NAMECHEAPHOSTING.COM,
dietvpm.org,22-06-2017,22-06-2026,9.0,2017.0,"Wild West Domains, LLC",harlan.ns.cloudflare.com,lila.ns.cloudflare.com,
digilife.jpnn.com,23-07-1998,22-07-2026,28.0,1998.0,,,,
digit.in,16-02-2005,16-02-2029,24.0,2005.0,GoDaddy,ns-1079.awsdns-06.org,ns-2041.awsdns-63.co.uk,ns-600.awsdns-11.net
digitalcameraworld.com,19-01-2004,19-01-2026,22.0,2004.0,,,,
digitalindiamib.com,01-03-2012,01-03-2026,14.0,2012.0,,,,
digitaljournal.com,22-09-1998,21-09-2026,28.0,1998.0,,,,
digitalmarketnews.com,11-07-2019,11-07-2026,7.0,2019.0,,,,
digitalpoint.com,02-04-1999,02-04-2026,27.0,1999.0,,,,
digitechdealz.com,04-12-2024,04-12-2025,1.0,2024.0,,,,
digsdigs.com,22-11-2008,22-11-2025,17.0,2008.0,,,,
dimsumcentral.com,23-01-2014,23-01-2027,13.0,2014.0,,,,
dinardetectives.com,27-12-2011,27-12-2033,22.0,2011.0,,,,
dinarguru.com,12-04-2011,12-04-2027,16.0,2011.0,,,,
dinehere.us,20-11-2011,19-11-2025,14.0,2011.0,,,,
dinena.com,28-11-2020,28-11-2025,5.0,2020.0,,,,
dineroentarjeta.com,25-11-2024,25-11-2025,1.0,2024.0,"NameCheap, Inc.",BEN.NS.CLOUDFLARE.COM,ZOE.NS.CLOUDFLARE.COM,
dinfacil.com,26-03-2024,26-03-2026,2.0,2024.0,,,,
dinheironlinecash.com,25-07-2019,25-07-2026,7.0,2019.0,,,,
dinner-mom.com,01-11-2012,02-11-2026,14.0,2012.0,,,,
dinnerideasforall.com,06-01-2025,06-01-2026,1.0,2025.0,,,,
dinos-family-restaurant.local-cafes.com,31-07-2017,31-07-2026,9.0,2017.0,,,,
dinstagram.com,09-04-2017,09-04-2026,9.0,2017.0,,,,
dinstoday.com,24-10-2024,24-10-2025,1.0,2024.0,,,,
directoalpaladar.com,21-06-2005,21-06-2026,21.0,2005.0,,,,
directoriocubano.info,15-12-2015,15-12-2025,10.0,2015.0,,,,
direktferries.com,09-07-2006,09-07-2025,19.0,2006.0,,,,
dirndlkitchen.com,30-09-2015,30-09-2025,10.0,2015.0,,,,
dirtgreen.com,08-08-2020,08-08-2026,6.0,2020.0,,,,
dirtyroulet.com,23-02-2015,23-02-2026,11.0,2015.0,,,,
disabilityaccess.org,15-07-1998,14-07-2025,27.0,1998.0,,,,
discountmags.com,20-11-2002,20-11-2034,32.0,2002.0,,,,
discoverdartmouth.com,18-08-2003,18-08-2026,23.0,2003.0,Mesh Digital Limited,NS1045.UI-DNS.BIZ,NS1045.UI-DNS.COM,NS1045.UI-DNS.DE
discoverkyrgyzstan.org,23-06-2016,23-06-2026,10.0,2016.0,"GoDaddy.com, LLC",elma.ns.cloudflare.com,harvey.ns.cloudflare.com,
discovermagazine.com,19-06-1997,18-06-2030,33.0,1997.0,,,,
discovermymobility.com,19-03-2009,19-03-2029,20.0,2009.0,,,,
discoverplasma.com,19-03-2024,19-03-2026,2.0,2024.0,,,,
discovery.com,20-04-1993,21-04-2026,33.0,1993.0,,,,
disctionary.com,09-05-2000,09-05-2026,26.0,2000.0,,,,
dishef.com,17-08-2024,17-08-2025,1.0,2024.0,,,,
dishes.ma2roc.tech,02-06-2024,02-06-2026,2.0,2024.0,,,,
dishnthekitchen.com,27-09-2017,27-09-2025,8.0,2017.0,,,,
diskdigger.br.uptodown.com,20-12-2002,24-06-2033,30.0,2002.0,,,,
disney-disneyplus.br.uptodown.com,20-12-2002,24-06-2033,30.0,2002.0,,,,
disneydorks.com,18-09-2020,18-09-2025,5.0,2020.0,Bluehost Inc.,NS1.BLUEHOST.COM,NS2.BLUEHOST.COM,
disneyparknerds.com,06-09-2020,06-09-2026,6.0,2020.0,,,,
disneypinsblog.com,28-03-2013,28-03-2026,13.0,2013.0,"TUCOWS, INC.",DENVER.NS.CLOUDFLARE.COM,ISLA.NS.CLOUDFLARE.COM,
dispatch.com,19-04-1995,20-04-2026,31.0,1995.0,,,,
disposablemail.com,18-10-2013,18-10-2026,13.0,2013.0,,,,
distance-cities.com,13-10-2011,13-10-2028,17.0,2011.0,,,,
distancecalculator.globefeed.com,19-01-2006,19-01-2028,22.0,2006.0,,,,
distancecalculator.us,09-10-2015,08-10-2026,11.0,2015.0,,,,
distancefromto.net,23-05-2009,23-05-2028,19.0,2009.0,Nics Telekomunikasyon A.S.,NS-CLOUD-B1.GOOGLEDOMAINS.COM,NS-CLOUD-B2.GOOGLEDOMAINS.COM,
distancelatlong.com,11-01-2017,11-01-2026,9.0,2017.0,,,,
ditonary.com,22-06-2000,22-06-2026,26.0,2000.0,,,,
ditymovecalculator.net,02-06-2015,02-06-2026,11.0,2015.0,,,,
dividendhistory.org,19-07-2012,19-07-2026,14.0,2012.0,,,,
dividendinvestor.com,10-03-2004,10-03-2030,26.0,2004.0,,,,
divinepmgmt.com,28-08-2012,28-08-2025,13.0,2012.0,,,,
divinesymbolism.com,29-04-2024,29-04-2026,2.0,2024.0,,,,
divulgajobs.com.br,31-07-2020,31-07-2025,5.0,2020.0,,,,
dixxonquality.worthepenny.com,10-02-2020,10-02-2026,6.0,2020.0,,,,
diy-100ideas.com,29-10-2014,29-10-2025,11.0,2014.0,,,,
diy-home-garden.masidia.com,06-02-2024,06-02-2026,2.0,2024.0,,,,
diy.glowpink.com,09-03-2016,09-03-2026,10.0,2016.0,,,,
diy.playactionwin.com,18-06-2024,18-06-2026,2.0,2024.0,,,,
diybastelideen.com,16-01-2015,16-01-2026,11.0,2015.0,Realtime Register B.V.,CHRISTINA.NEOSTRADA.NL,LISA.NEOSTRADA.NL,SANDRA.NEOSTRADA.NL
diycraftsy.com,26-12-2016,26-12-2025,9.0,2016.0,"GoDaddy.com, LLC",KAY.NS.CLOUDFLARE.COM,ZOD.NS.CLOUDFLARE.COM,
diyeverywhere.com,09-02-2016,09-02-2027,11.0,2016.0,,,,
diyhomeninja.com,31-03-2021,31-03-2026,5.0,2021.0,,,,
diyhomeu.com,05-03-2020,05-03-2026,6.0,2020.0,,,,
diyncrafty.com,18-04-2017,18-04-2026,9.0,2017.0,,,,
diynot.com,05-04-2000,05-04-2029,29.0,2000.0,"Amazon Registrar, Inc.",DAN.NS.CLOUDFLARE.COM,JOAN.NS.CLOUDFLARE.COM,
diyscraftsy.com,13-11-2019,13-11-2025,6.0,2019.0,,,,
diythrill.com,13-11-2015,13-11-2025,10.0,2015.0,,,,
dizzybusyandhungry.com,24-01-2013,24-01-2027,14.0,2013.0,,,,
dj-equipment-shop.co.uk,06-11-2016,06-11-2025,9.0,2016.0,,,,
djalurkerja.depnakercarer.com,27-12-2018,27-12-2025,7.0,2018.0,,,,
djivanevents.com,24-09-2013,24-09-2025,12.0,2013.0,,,,
djmwanga.co,17-07-2024,17-07-2025,1.0,2024.0,,,,
dl-online.com,04-04-1997,05-04-2026,29.0,1997.0,,,,
dlawka.com,23-01-2022,23-01-2026,4.0,2022.0,,,,
dlskits.com,10-01-2018,10-01-2026,8.0,2018.0,"NameSilo, LLC",TESS.NS.CLOUDFLARE.COM,ZEUS.NS.CLOUDFLARE.COM,
dlskiturl.com,02-01-2023,02-01-2026,3.0,2023.0,"NameCheap, Inc.",NS1.DNS-PARKING.COM,NS2.DNS-PARKING.COM,
dltdemolition.com,04-04-2023,04-04-2026,3.0,2023.0,,,,
dmc-usa.com,17-02-1996,18-02-2026,30.0,1996.0,,,,
dmv-permit-test.com,28-01-2016,28-01-2026,10.0,2016.0,,,,
dmv-practice-test.com,29-07-2017,29-07-2028,11.0,2017.0,,,,
dmv-test-pro.com,16-03-2017,16-03-2026,9.0,2017.0,,,,
dmv-written-test.com,24-05-2014,24-05-2029,15.0,2014.0,,,,
dmv.com,28-02-1995,01-03-2027,32.0,1995.0,,,,
dmv.org,02-03-1999,02-03-2028,29.0,1999.0,,,,
dmvappointments.net,12-12-2023,12-12-2025,2.0,2023.0,,,,
dmvappointments.org,28-09-2009,28-09-2026,17.0,2009.0,,,,
dmvconnect.com,01-08-2015,01-08-2026,11.0,2015.0,,,,
dmvgo.com,29-06-2000,29-06-2026,26.0,2000.0,,,,
dmvhandbook.org,04-09-2010,04-09-2026,16.0,2010.0,"Name.com, Inc.",ns10.dnsmadeeasy.com,ns11.dnsmadeeasy.com,ns12.dnsmadeeasy.com
dmvhours.com,23-11-2006,23-11-2026,20.0,2006.0,,,,
dmvnearme.net,25-01-2017,25-01-2026,9.0,2017.0,,,,
dmvoffice.net,09-03-2018,09-03-2026,8.0,2018.0,,,,
dmvoffice.us,16-04-2013,15-04-2026,13.0,2013.0,,,,
dmvpa.org,17-09-2015,17-09-2025,10.0,2015.0,,,,
dmvtest101.com,25-04-2024,25-04-2026,2.0,2024.0,,,,
dmvwaittimes.org,11-04-2015,11-04-2026,11.0,2015.0,,,,
dnevnik.hr,06-09-2010,06-09-2025,15.0,2010.0,,,,
dnews.com,20-03-1996,21-03-2026,30.0,1996.0,,,,
dniperu.com,23-12-2023,23-12-2025,2.0,2023.0,"GoDaddy.com, LLC",GREG.NS.CLOUDFLARE.COM,JUNE.NS.CLOUDFLARE.COM,
dnschecker.org,08-10-2013,08-10-2032,19.0,2013.0,,,,
dobbernationloves.com,24-12-2010,24-12-2025,15.0,2010.0,,,,
docentesaldia.com,16-01-2019,16-01-2026,7.0,2019.0,,,,
dockaysworld.com.ng,06-07-2018,06-07-2026,8.0,2018.0,,,,
docksearch.com,02-09-2002,02-09-2028,26.0,2002.0,,,,
doctear.com,14-03-2017,14-03-2030,13.0,2017.0,,,,
docteur-fitness.com,06-08-2019,06-08-2025,6.0,2019.0,,,,
doctor.mn,17-04-2014,17-04-2026,12.0,2014.0,,,,
doctor.webmd.com,06-04-1998,05-04-2026,28.0,1998.0,,,,
doctorshealthpress.com,04-10-2006,04-10-2029,23.0,2006.0,,,,
doctorspot.in,14-09-2023,14-09-2026,3.0,2023.0,,,,
doctorzzzzzmattress.com,11-05-2015,11-05-2026,11.0,2015.0,,,,
docviewer.xdocs.net,21-06-2018,21-06-2026,8.0,2018.0,,,,
dodge-specs.com,19-03-2022,19-03-2026,4.0,2022.0,,,,
dodgecountyfairgrounds.com,28-01-1998,27-01-2026,28.0,1998.0,,,,
dodgersnation.com,14-08-2006,14-08-2025,19.0,2006.0,,,,
dodocodes.com,21-03-2020,21-03-2029,9.0,2020.0,,,,
dodstream.com,10-09-2020,10-09-2026,6.0,2020.0,,,,
doflick.com,18-08-2023,18-08-2026,3.0,2023.0,"Cosmotown, Inc.",NDNS1.COSMOTOWN.COM,NDNS2.COSMOTOWN.COM,
dofont.com,29-06-2004,29-06-2025,21.0,2004.0,,,,
dog.rescueme.org,22-06-1999,22-06-2026,27.0,1999.0,,,,
dogbreedinfo.com,17-02-1999,17-02-2026,27.0,1999.0,"GoDaddy.com, LLC",NS69.DOMAINCONTROL.COM,NS70.DOMAINCONTROL.COM,
dogfix.com,26-07-2004,26-07-2025,21.0,2004.0,,,,
doggy-training.net,27-01-2020,27-01-2026,6.0,2020.0,,,,
dogmovies.net,18-03-2021,18-03-2026,5.0,2021.0,,,,
dogparksnearme.co.uk,28-12-2019,28-12-2025,6.0,2019.0,,,,
dogrb.com,24-12-2024,24-12-2025,1.0,2024.0,"Cosmotown, Inc.",ANASTASIA.NS.CLOUDFLARE.COM,TIM.NS.CLOUDFLARE.COM,
dogs.pawpulous.com,12-07-2016,12-07-2026,10.0,2016.0,,,,
dogs.popado.net,08-02-2021,08-02-2026,5.0,2021.0,,,,
dogsandclogs.com,27-03-2020,27-03-2026,6.0,2020.0,,,,
dogsplanet.com,16-08-2009,16-08-2028,19.0,2009.0,,,,
dogswelcomek9trainingservices.com,29-03-2012,29-03-2026,14.0,2012.0,,,,
dogsy.ie,19-06-2023,19-06-2027,4.0,2023.0,AB Name ISP,lex.ns.cloudflare.com,nataly.ns.cloudflare.com,
dogthelove.com,13-07-2016,13-07-2026,10.0,2016.0,,,,
dogtime.com,31-10-2000,31-10-2029,29.0,2000.0,,,,
dogwheelchairlife.com,07-02-2020,07-02-2026,6.0,2020.0,,,,
doityourselves.com,02-11-2014,02-11-2025,11.0,2014.0,,,,
dolar.nutrisliim.com.br,01-05-2019,01-05-2026,7.0,2019.0,,,,
dolartoday.com,18-10-2012,18-10-2028,16.0,2012.0,,,,
dolcecandybuffets.com,05-10-2022,05-10-2025,3.0,2022.0,,,,
dolcerecipe.com,20-03-2025,20-03-2026,1.0,2025.0,"NameCheap, Inc.",ALEENA.NS.CLOUDFLARE.COM,SAGE.NS.CLOUDFLARE.COM,
dollarsinthedoor.com,08-03-2024,08-03-2026,2.0,2024.0,,,,
dollarsrise.com,14-03-2022,14-03-2026,4.0,2022.0,,,,
dollartree.carrer.com,26-08-1998,25-08-2025,27.0,1998.0,,,,
dollemporium.com,22-05-2004,22-05-2026,22.0,2004.0,,,,
dollupbeautique.com,23-08-2020,23-08-2025,5.0,2020.0,,,,
domain.myfarmtales.com,31-03-2023,31-03-2026,3.0,2023.0,,,,
domeniquetrupia.com,11-03-2022,11-03-2026,4.0,2022.0,,,,
domikids.tv,05-06-2023,05-06-2026,3.0,2023.0,,,,
dominican.company,20-10-2017,20-10-2025,8.0,2017.0,,,,
domo-cafe.res-menu.com,24-12-2023,24-12-2025,2.0,2023.0,,,,
domril.work,26-06-2024,26-06-2026,2.0,2024.0,"GoDaddy.com, LLC",brianna.ns.cloudflare.com,justin.ns.cloudflare.com,
don-pancho-villa-restaurant.restaurants-world.com,04-12-2023,04-12-2025,2.0,2023.0,"NameCheap, Inc.",FATTOUCHE.NS.CLOUDFLARE.COM,MACY.NS.CLOUDFLARE.COM,
donatos.worthepenny.com,10-02-2020,10-02-2026,6.0,2020.0,,,,
donbalon.com,26-09-2000,26-09-2025,25.0,2000.0,Squarespace Domains II LLC,NS-CLOUD-A1.GOOGLEDOMAINS.COM,NS-CLOUD-A2.GOOGLEDOMAINS.COM,NS-CLOUD-A3.GOOGLEDOMAINS.COM
dondamour.org,01-08-2023,01-08-2025,2.0,2023.0,,,,
donerecipe.com,18-05-2024,18-05-2026,2.0,2024.0,NAMECHEAP INC,ACE.NS.CLOUDFLARE.COM,ARIA.NS.CLOUDFLARE.COM,
